epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2950.72,1.40087,2.96071,1.72595,0.3583,0.2,0.05474,0.01913,2.49155,21.1971,3.49385,0.000475941,0.000475941,0.000475941
2,5872.29,1.76526,2.87523,2.01801,0.14901,0.14795,0.11231,0.05099,2.28593,11.3612,3.11803,0.000889424,0.000889424,0.000889424
3,7762.15,1.81024,2.88823,2.06109,0.77315,0.08889,0.10295,0.03989,2.16519,4.4843,2.76819,0.00124003,0.00124003,0.00124003
4,9733,1.61733,2.73413,1.92244,0.01447,0.35297,0.01486,0.00558,2.42774,30.0862,3.27988,0.00114606,0.00114606,0.00114606
5,11702.2,1.50375,2.5252,1.81218,0.25822,0.30234,0.20999,0.09281,2.09059,4.42934,2.58669,0.00105174,0.00105174,0.00105174
6,13978.7,1.64408,2.40605,2.18859,0.18234,0.2944,0.19828,0.08887,2.17622,6.84736,2.88503,0.00095743,0.00095743,0.00095743
7,16341.4,1.50569,2.1199,2.00416,0.55526,0.29064,0.19563,0.09373,2.12254,7.21549,2.84468,0.000863116,0.000863116,0.000863116
8,18704,1.44911,1.95667,1.95398,0.29191,0.36793,0.25366,0.12677,1.86209,4.89978,2.45637,0.000768802,0.000768802,0.000768802
9,21066.8,1.33068,1.84575,1.82969,0.63551,0.33977,0.27162,0.13448,1.85003,9.69559,2.4862,0.000674488,0.000674488,0.000674488
10,23429.5,1.26094,1.74163,1.76173,0.13069,0.35322,0.17592,0.08881,1.88733,10.3293,2.55198,0.000580174,0.000580174,0.000580174
11,25792.1,1.18951,1.62194,1.69022,0.21362,0.29357,0.17241,0.08265,1.96022,15.2542,2.94041,0.00048586,0.00048586,0.00048586
12,28462.8,1.11536,1.52842,1.6107,0.48692,0.2848,0.20685,0.09444,1.93369,13.0999,3.01343,0.000391546,0.000391546,0.000391546
13,31133.9,1.01543,1.4043,1.5195,0.27758,0.40376,0.16771,0.08487,1.84724,24.3606,2.48621,0.000297232,0.000297232,0.000297232
14,33829.6,0.95097,1.29828,1.45378,0.14594,0.38852,0.13466,0.0785,1.68004,23.5028,2.51536,0.000202918,0.000202918,0.000202918
15,36762,0.91316,1.19566,1.41462,0.1788,0.45694,0.1649,0.10334,1.57284,15.3499,2.43856,0.000108604,0.000108604,0.000108604
